Query Id,Query Name,Date,Title,Url,Sentiment,Language,Country,Author,Full Name,Gender
2000345008,Samsung_S20 (Product Only),2020-03-08 13:06:12.000,"🐱 If you'd noticed that vlive quality significantly improved at one point you're right the phone changed to Samsung Galaxy Note 10.. If S20 comes out it'll change again
#슈가생일ㅊㅋ
#HappySUGAday 
#윤기의_윤기나는_생일_축하해 https://t.co/Y7a2aY8QDd",http://twitter.com/tinyseokjinnie/statuses/1236639353750695937,positive,en,,tinyseokjinnie,tinyseokjinnie (ㅈㄱㅋ🍀),unknown
2000345008,Samsung_S20 (Product Only),2020-03-09 04:55:33.000,"It's a new week and that means another opportunity to unlock a clue with the @SamsungMobileSA #GalaxyS20 - photography has a new chapter. 

🔓 Get 3000 Retweets on this post and we will unlock a special clue.⌛ #947Joburg #S20Unlocked https://t.co/p1I48BelU8",http://twitter.com/947/statuses/1236878266901975040,neutral,en,South Africa,947,947 (947 loves you!),unknown
2000345008,Samsung_S20 (Product Only),2020-03-12 04:56:54.000,"The @SamsungMobileSA #GalaxyS20 captures previously Unseen Moments in every snap. 
We are looking for 800 Retweets on this post in order to release a clue for the Unseen Moment AND a chance to win big⌛ #947Joburg #S20Unlocked https://t.co/ih1Z15CJBz",http://twitter.com/947/statuses/1237965768568057856,neutral,en,South Africa,947,947 (947 loves you!),unknown
2000345008,Samsung_S20 (Product Only),2020-03-11 04:57:36.000,"Photography has a new chapter.
The @SamsungMobileSA #GalaxyS20 captures previously Unseen Moments in every snap.

We are looking for 500 Retweets on this post in order to release a clue for the Unseen Moment AND a chance to win big⌛ #947Joburg #S20Unlocked https://t.co/uhqAcSmsCZ",http://twitter.com/947/statuses/1237603558427508737,neutral,en,South Africa,947,947 (947 loves you!),unknown
2000345008,Samsung_S20 (Product Only),2020-03-24 07:20:33.000,"We took a trip down to the coast this weekend to put the #GalaxyS20 through its paces - and, of course, to plant an Unseen Moment! 
You know the drill -  750 retweets unlocks a better look and a clue, worth R10 000. 
On your marks, get set, GO! #S20Unlocked https://t.co/KsT3WNdnjc",http://twitter.com/KFMza/statuses/1242350573669793792,neutral,en,South Africa,KFMza,KFMza (Kfm 94.5),unknown
2000345008,Samsung_S20 (Product Only),2020-03-06 04:57:28.000,"Let's unlock a clue with the @SamsungMobileSA #GalaxyS20 - the mobile device that takes you places no other mobile has ever been or seen. 
🔓 Get 500 Retweets on this post and we will unlock a clue.⌛ #947Joburg #S20Unlocked https://t.co/bo7khpKAxV",http://twitter.com/947/statuses/1235791584224055296,neutral,en,South Africa,947,947 (947 loves you!),unknown
2000345008,Samsung_S20 (Product Only),2020-03-17 15:45:20.000,"Okay guys, we have one more clue in the bag for you... But it's a dead giveaway! 
So we'll need a lot more retweets - 700 in fact. BUT we're sweetening the deal and bumping up the prize to R20 000. 
So get retweeting! #GalaxyS20 #S20Unlocked https://t.co/LOgphHiPlj",http://twitter.com/KFMza/statuses/1239940893689380866,positive,en,South Africa,KFMza,KFMza (Kfm 94.5),unknown
2000345008,Samsung_S20 (Product Only),2020-03-06 13:31:08.000,"So my boy @justinbieber called me , and he think I’m playing when I tell him not to scratch his nose coz he’ll get #CoronavirusInSA .. 
-
-
-
#CHILOMBO #CoronavirusInSA #GalaxyS20 #LWS2020KZN #GalaxyS20Ultra #LocoNetworkFundMyProject https://t.co/vwgZIXYYqy",http://twitter.com/NOCHILL_GOD/statuses/1235920855512887297,positive,en,South Africa,NOCHILL_GOD,NOCHILL_GOD (Ndivhuwo Muhanelwa),unknown
2000345008,Samsung_S20 (Product Only),2020-03-09 14:13:15.000,"Yo dawg
I heard you like orange
Shot on Galaxy S20 https://t.co/tMpnWN8sm6",http://twitter.com/MKBHD/statuses/1237018617562247168,neutral,en,United States of America,MKBHD,MKBHD (Marques Brownlee),male
2000345008,Samsung_S20 (Product Only),2020-03-10 07:32:54.000,"Photography has a new chapter. 
The @SamsungMobileSA #GalaxyS20 captures previously Unseen Moments in every snap. 

We are looking for 300 Retweets on this post in order to release a clue for the Unseen Moment AND a chance to win big⌛  #947Joburg #S20Unlocked https://t.co/7odGhEZCQt",http://twitter.com/947/statuses/1237280254969995265,neutral,en,South Africa,947,947 (947 loves you!),unknown
